ClassName,isAbstract,DataTypes
"DBColumnInfo,0,""DatabaseDataset"""
"HectorDataset,0,""?"""
"ColumnAbstraction,1,""ColumnType,ColumnImpl,Dataset"""
"NumericalColumnImpl,0,""?"""
"RangeColumnImpl,0,""?"""
"BitColumnImpl,0,""?"""
"BinaryColumn,0,""?"""
"BitColumn,0,""?"""
"DateColumnImpl,0,""?"""
"RangeColumn,0,""Range"""
"CategoricalColumn,0,""?"""
"NumericalColumn,0,""?"""
"CategoricalColumnImpl,0,""?"""
"IntegerColumn,0,""?"""
"DateColumn,0,""?"""
"NominalColumn,0,""?"""
"ColumnType,0,""ColumnAbstraction"""
"NominalColumnImpl,0,""?"""
"ColumnImpl,1,""ColumnAbstraction"""
"BinaryColumnImpl,0,""?"""
"IntegerColumnImpl,0,""?"""
"DatabaseDataset,1,""DBColumnInfo"""
"InstanceIterator,0,""Dataset"""
"FileDataset,1,""?"""
"Dataset,1,""ColumnAbstraction,ColumnAbstraction"""
"CsvDataset,0,""?"""
"ExcelDataset,0,""?"""
"ArffDataset,0,""?"""
"JDBCDataset,1,""JDBCConverter"""
"KeelDataset,0,""?"""
"JDBCSQLerverDataset,0,""?"""
"JDBCOracleConverter,0,""?"""
"JDBCMySQLConverter,0,""?"""
"JDBCMySQLDataset,0,""?"""
"JDBCSQLServerConverter,0,""?"""
"JDBCCassandraConverter,0,""?"""
"JDBCCassandraDataset,0,""?"""
"JDBCConverter,1,""Dataset,JDBCDataset"""
"JDBCOracleDataset,0,""?"""
"EqualFrequencyDiscretization,0,""?"""
"EqualWidthDiscretization,0,""RangeColumn,NumericalColumn"""
"MDLPDiscretize,0,""Dataset,ColumnAbstraction,Dataset"""
"RemovePercentage,0,""Dataset"""
"RemoveDuplicates,0,""Dataset"""
"AverageAttack,0,""?"""
"SegmentAttack,0,""?"""
"ReverseBandwagonAttack,0,""?"""
"RandomAttack,0,""?"""
"IntruderAttack,1,""ColumnAbstraction,ColumnAbstraction,Dataset"""
"LoveHateAttack,0,""?"""
"BandwagonAttack,0,""?"""
"DatasetStrategy,1,""Dataset,Dataset"""
"KFolds,0,""Dataset,Dataset"""
"InvalidValue,1,""?"""
"Range,1,""RangeColumn"""
"NullValue,0,""NullValue"""
"EmptyValue,0,""EmptyValue"""
"DoubleRange,0,""?"""
"MissingValue,0,""MissingValue"""
