ClassName,isAbstract,DataTypes
"AbstractJavaSourceToXmlConverter,1,""?"""
"JavaSource2HTMLConverter,0,""?"""
"JavaSource2TeXConverter,0,""?"""
"JavaSource2XmlConverter,0,""?"""
"JavaSourceConverterProvider,0,""AbstractJavaSourceConverter"""
"JavaSource2XhtmlConverter,0,""?"""
"AbstractJavaSourceConverter,1,""JavaSourceIterator,ConverterMetaData,JavaSourceConversionOptions,JavaSourceStyleTable,JavaSource"""
"JavaSource2RtfConverter,0,""?"""
"JavaSource2Xhtml11Converter,0,""?"""
"ConverterMetaData,0,""AbstractJavaSourceConverter"""
"Java2HtmlCommandline,0,""AbstractJavaSourceConverter,AbstractJava2HtmlConversion"""
"Java2HtmlFileConversion,0,""?"""
"CommandlineArguments,0,""JavaSourceConversionOptions"""
"AbstractJava2HtmlConversion,1,""JavaSourceConversionOptions,AbstractJavaSourceConverter"""
"Java2HtmlDirectoryConversion,0,""?"""
"JavaSourceStyleTable,0,""JavaSourceConversionOptions,JavaSourceStyleEntry"""
"ConversionOptionsUtilities,0,""?"""
"HorizontalAlignment,1,""JavaSourceConversionOptions"""
"JavaSourceStyleEntry,0,""RGB,JavaSourceStyleTable,HtmlUtilities"""
"JavaSourceConversionOptions,0,""JavaSourceParser,JavaSourceConversionOptions,JavaSourceStyleTable,JavaSourceConversionOptions,HorizontalAlignment"""
"AbstractHorizontalAlignmentVisitor,1,""?"""
"AbstractConverstionOptionsProperties,1,""JavaSourceStyleTable,JavaSourceType"""
"ConversionOptionsPropertiesWriter,0,""?"""
"ConversionOptionsPropertiesReader,0,""?"""
"AbstractConversionPanel,1,""Java2HtmlOptionsPanel"""
"AbstractSimpleListCellRenderer,1,""?"""
"AbstractStatisticsView,1,""DirectTextConversionPanel"""
"DirectTextConversionPanel,0,""AbstractStatisticsView,Java2HtmlOptionsPanel,AbstractStatisticsView"""
"FileConversionPanel,0,""Java2HtmlOptionsPanel"""
"Java2HtmlOptionsPanel,0,""Java2HtmlApplet,AbstractConversionPanel,JavaSourceConversionSettings,JavaSourceConversionOptions,Java2HtmlApplication"""
"Java2Html,0,""JavaSourceConversionSettings,AbstractJava2HtmlConversion"""
"JavaSourceConversionSettings,0,""AbstractJava2HtmlPlugin"""
"Java2HtmlApplication,0,""Java2HtmlOptionsPanel"""
"Java2HtmlApplet,0,""Java2HtmlOptionsPanel"""
"ParameterUtilities,0,""?"""
"Java2HtmlPlugin,0,""?"""
"AbstractParameter,1,""?"""
"PluginConversionOptionsParser,0,""?"""
"PluginParameterChecker,0,""?"""
"PluginSecurityManager,0,""?"""
"PluginParameter,0,""?"""
"AbstractJava2HtmlPlugin,1,""?"""
"JavaSource,0,""JavaSourceParser,JavaSourceIterator,JavaSourceStatistic,JavaSourceType,JavaSourceIterator"""
"JavaSourceRun,0,""JavaSourceIterator"""
"JavaSourceParser,0,""JavaSourceConversionOptions,JavaSourceType,JavaSource"""
"JavaSourceStatistic,0,""JavaSource"""
"JavaSourceType,0,""JavaSourceParser,JavaSource"""
"JavaSourceIterator,0,""JavaSource,JavaSource"""
"IoUtilities,0,""?"""
"RGB,0,""JavaSourceStyleEntry"""
"IteratorEnumeration,0,""?"""
"HtmlUtilities,0,""?"""
"LinkedProperties,0,""?"""
