Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.422667,0.662667,0.584,0.394,0.414483,0.0,0.451667,0.008
borg,0.451875,0.702333,0.607,0.555,-1.0,0.0,0.552,0.0
datapro4j,0.573667,0.635333,0.393,0.625667,0.503333,0.0,0.485,0.0
ical4j,0.153529,0.446333,0.256333,0.262,0.391667,0.0,0.386,0.0
java2html,0.336875,0.547667,0.562667,0.372857,-1.0,0.0,0.383,0.0
jsapar,0.36,0.652,0.524333,0.39,0.521724,0.0,0.461667,0.0
jxls,0.31125,0.533333,0.484333,0.372105,-1.0,0.0,0.361667,0.02
logisim,0.403333,0.549667,0.449667,0.41,-1.0,0.0,0.483667,0.0
marvin,0.638667,0.718667,0.561667,0.646552,0.449667,0.0,0.487,0.0
nekohtml,0.405556,0.644667,0.531,0.45,0.437,0.0,0.422333,0.0
