Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,-1.0,0.99,0.97,-1.0,0.93,0.0,0.972667,0.027
borg,0.416667,0.513333,0.51,0.871429,-1.0,0.0,0.535,0.0
datapro4j,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ical4j,-1.0,0.841667,0.751667,-1.0,0.846667,0.0,0.766667,0.0
java2html,0.5,0.676333,0.688667,0.82,-1.0,0.0,0.697333,0.0
jsapar,-1.0,0.945,0.922333,-1.0,0.875714,0.0,0.914,0.009
jxls,0.6,0.638333,0.618333,0.916667,-1.0,0.0,0.616667,0.0
logisim,0.633333,0.596667,0.54,0.95,-1.0,0.0,0.576667,0.0
marvin,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
nekohtml,1.0,1.0,1.0,1.0,1.0,0.0,0.996667,0.0
