Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,-1.0,0.006784,0.009226,-1.0,0.0,0.0,0.00496,0.021071
borg,0.0,0.03132,0.082596,0.0,-1.0,0.0,0.011547,0.007035
datapro4j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ical4j,-1.0,0.030719,0.047495,-1.0,0.022455,0.0,0.014245,0.0
java2html,0.0,0.071487,0.125693,0.0,-1.0,0.0,0.033121,0.0
jsapar,-1.0,0.017236,0.036631,-1.0,0.012774,0.0,0.024374,0.007
jxls,0.0,0.099629,0.070095,0.0,-1.0,0.0,0.014226,0.016
logisim,0.0,0.040415,0.014907,0.0,-1.0,0.0,0.0,0.0
marvin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nekohtml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
