Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.059358,0.098897,0.136301,0.0,0.114247,0.0,0.10244,0.101401
borg,0.0,0.041526,0.0911,0.0,-1.0,0.0,0.035227,0.017889
datapro4j,0.069068,0.079218,0.086862,0.0,0.073363,0.0,0.074797,0.028296
ical4j,0.058682,0.119905,0.090329,0.0,0.094983,0.0,0.146531,0.103752
java2html,0.0,0.096051,0.068168,0.0,-1.0,0.023256,0.05331,0.029534
jsapar,-1.0,0.089541,0.111926,-1.0,0.074849,0.001782,0.099478,0.084005
jxls,0.008248,0.022652,0.028736,0.0,-1.0,0.0,0.006783,0.006667
logisim,0.050148,0.047238,0.055122,0.0,-1.0,0.0,0.034644,0.065226
marvin,0.051432,0.010998,0.103322,0.0,0.072318,0.0,0.010899,0.044286
nekohtml,0.062726,0.057698,0.091327,0.0,0.071397,0.0,0.099753,0.050627
