Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,1.0,1.0,1.0,-1.0,0.996667,0.0,1.0,0.0
borg,-1.0,0.683,0.625333,-1.0,-1.0,0.0,0.674667,0.0
datapro4j,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
ical4j,-1.0,0.972667,0.873333,-1.0,0.956667,0.0,0.938667,0.028
java2html,-1.0,0.687667,0.744,-1.0,-1.0,0.0,0.501667,0.0
jsapar,-1.0,0.993333,0.986667,-1.0,0.982759,0.0,0.993333,0.0
jxls,-1.0,0.679667,0.627,-1.0,-1.0,0.0,0.498333,0.0
logisim,-1.0,0.611,0.525,-1.0,-1.0,0.0,0.436,0.0
marvin,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
nekohtml,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
