Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.738333,0.947,0.683333,0.5,0.731667,0.147,0.932,0.205
borg,-1.0,0.781,0.787667,-1.0,-1.0,0.006,0.816,0.116
datapro4j,0.975862,0.997,1.0,1.0,0.5,0.4,0.809667,0.535
ical4j,0.89,0.949667,0.949333,0.5,0.961667,0.155,0.954667,0.278889
java2html,0.0,0.917333,0.0,0.0,-1.0,0.035667,0.905667,0.116
jsapar,0.645,0.945333,0.593333,0.5,0.585714,0.148,0.907333,0.186
jxls,0.72,0.968667,0.949667,-1.0,-1.0,0.111667,0.967,0.2
logisim,-1.0,0.929667,0.922667,-1.0,-1.0,0.0,0.938667,0.12
marvin,0.901667,0.978,0.95,0.95,0.788333,0.196,0.841333,0.219
nekohtml,0.855,0.968333,0.863333,0.9,0.876667,0.239,0.809333,0.367
