Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.502759,0.749,0.744333,0.408333,0.623793,0.0,0.589,0.0
borg,0.6725,0.861333,0.840667,0.786,-1.0,0.0,0.625667,0.007
datapro4j,0.700909,0.810333,0.636333,0.754762,0.598,0.0,0.644333,0.043
ical4j,0.560667,0.821333,0.656333,0.762,0.608667,0.002667,0.599,0.039
java2html,0.55037,0.780333,0.756,0.424286,-1.0,0.0,0.643,0.0
jsapar,-1.0,0.831667,0.803,-1.0,0.641724,0.0,0.637333,0.0
jxls,0.582857,0.799667,0.761667,0.7,-1.0,0.0,0.578667,0.0
logisim,0.517778,0.765333,0.755333,-1.0,-1.0,0.0,0.587333,0.0
marvin,0.452727,0.661667,0.667,-1.0,0.56,0.0,0.558333,0.0
nekohtml,0.68,0.753,0.744,-1.0,0.64,0.0,0.627333,0.0
