Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.059733,0.028357,0.018333,0.0,0.048352,0.0,0.042944,0.002275
borg,0.034962,0.015444,0.012883,0.046188,-1.0,0.0,0.014713,0.003912
datapro4j,0.05411,0.014585,0.02498,0.087695,0.010284,0.006314,0.007397,0.050324
ical4j,0.039063,0.015234,0.023181,0.0,0.007016,0.001314,0.002749,0.019882
java2html,0.074134,0.035385,0.026799,0.023639,-1.0,0.0,0.108976,0.003175
jsapar,-1.0,0.035897,0.021176,-1.0,0.007114,0.0,0.005192,0.001302
jxls,0.045736,0.019547,0.014656,0.0,-1.0,0.0,0.013663,0.003773
logisim,0.050641,0.024304,0.011617,-1.0,-1.0,0.0,6.42E-4,0.003334
marvin,0.06774,0.025637,0.019894,-1.0,0.007698,0.0,0.035937,0.003873
nekohtml,0.132916,0.019782,0.009118,-1.0,0.030792,0.0,0.034542,0.002914
