Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.017403,0.04379,0.054949,0.0,0.042047,0.0,0.053548,0.0
borg,-1.0,0.072633,0.11065,-1.0,-1.0,0.0,0.102271,0.009108
datapro4j,0.00532,0.026209,0.032839,0.0,0.008427,0.0,0.006679,0.038042
ical4j,0.030945,0.042455,0.052842,0.0,0.026436,0.0,0.049055,0.021054
java2html,-1.0,0.072313,0.066539,-1.0,-1.0,0.0,0.06952,0.0
jsapar,0.008607,0.047552,0.052396,0.0,0.041648,0.0,0.050679,0.002669
jxls,-1.0,0.069527,0.085701,-1.0,-1.0,0.0,0.073464,0.0
logisim,-1.0,0.07547,0.090572,-1.0,-1.0,8.61E-4,0.09433,0.0
marvin,0.02923,0.019766,0.070053,0.0,0.012276,0.0,0.015008,0.0
nekohtml,0.016615,0.023218,0.035167,0.0,0.023016,0.0,0.027281,0.0
