Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,-1.0,1.0,1.0,-1.0,1.0,0.002,1.0,0.015
borg,-1.0,1.0,1.0,-1.0,-1.0,0.008667,1.0,0.057
datapro4j,1.0,1.0,1.0,1.0,1.0,0.126667,1.0,0.19
ical4j,1.0,0.996667,1.0,1.0,0.983333,0.036,1.0,0.183
java2html,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.003
jsapar,-1.0,1.0,0.996667,-1.0,0.993103,0.0,0.99,0.0
jxls,-1.0,1.0,1.0,1.0,-1.0,0.008,1.0,0.01
logisim,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0
marvin,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0
nekohtml,-1.0,1.0,1.0,-1.0,1.0,0.001667,1.0,0.0
