Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.823333,0.899,0.89,0.896333,0.881667,0.001667,0.9,0.008
borg,0.903333,0.93,0.9,0.92,-1.0,0.0,0.93,0.045
datapro4j,0.802667,0.808667,0.751333,0.791034,0.780667,0.003,0.715,0.03
ical4j,0.866,0.876667,0.716667,0.876667,0.771333,0.012,0.789667,0.044
java2html,0.863333,0.905667,0.829667,0.853,-1.0,3.33E-4,0.89,0.02
jsapar,0.35,0.920333,0.782667,-1.0,0.533571,0.001,0.626,0.009
jxls,0.906,0.909,0.798667,0.9,-1.0,0.001667,0.886667,0.038
logisim,0.856667,0.85,0.846667,0.933333,-1.0,0.0,0.883333,0.015
marvin,0.657,0.664,0.568667,0.563793,0.562,0.0,0.355667,0.004
nekohtml,0.216333,0.781667,0.754667,0.785,0.62,0.0,0.756667,0.001
