Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.0,0.01204,0.0,0.0,0.012908,0.002241,0.0,0.003893
borg,0.0,0.0,0.0,0.0,-1.0,6.19E-4,0.0,0.00966
datapro4j,0.176502,0.174708,0.204383,0.213022,0.224916,8.08E-4,0.191512,0.016704
ical4j,0.090181,0.07282,0.056948,0.029361,0.068418,0.002686,0.077328,0.006445
java2html,0.0,0.02674,0.0,0.001925,-1.0,0.001143,0.017321,0.008075
jsapar,0.0,0.11076,0.101337,-1.0,0.059652,0.001549,0.095778,0.015266
jxls,0.040295,0.093779,0.009623,0.044264,-1.0,6.58E-4,0.011547,0.012202
logisim,0.0,0.0,0.00126,0.0,-1.0,5.72E-4,0.00126,0.01278
marvin,0.194434,0.179205,0.179722,0.039817,0.128385,0.0,0.084244,0.021815
nekohtml,0.02,0.127953,0.144848,0.163583,0.064336,0.0,0.169041,0.007535
