Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.441667,0.813,0.5,0.455385,0.851724,0.0,0.773333,0.0
borg,0.466333,0.602333,0.5,0.514074,-1.0,0.0,0.6,0.126
datapro4j,0.853333,0.863667,0.613667,0.900667,0.879667,0.0,0.857,0.0
ical4j,0.396667,0.577667,0.396,0.363667,0.607,0.0,0.496333,0.0
java2html,0.557143,0.725,0.626,-1.0,-1.0,0.0,0.632333,0.027
jsapar,0.431481,0.710667,0.434667,0.476667,0.511724,0.0,0.298333,0.0
jxls,0.514483,0.588667,0.498667,0.473684,-1.0,0.0,0.569333,0.055
logisim,0.554783,0.616,0.516667,0.517143,-1.0,0.0,0.582667,0.125
marvin,0.842333,0.867667,0.75,0.840333,0.863667,0.0,0.827333,0.0
nekohtml,0.615,0.816667,0.606667,0.580357,0.841,0.0,0.756667,0.0
