Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.027853,0.027904,0.053214,0.027155,0.027453,0.0,0.027342,0.0
borg,0.035867,0.008945,0.00522,0.002138,-1.0,0.0,0.007792,0.013279
datapro4j,0.040086,0.029909,0.062901,0.088668,0.022215,0.0,0.029456,0.0
ical4j,0.030907,0.009779,0.088725,0.030884,0.012469,0.0,0.008727,0.0
java2html,0.008248,0.025967,0.026822,-1.0,-1.0,0.0,0.018046,0.02146
jsapar,0.033884,0.026846,0.065777,0.033402,0.026887,0.0,0.023142,0.0
jxls,0.020146,0.020004,0.015284,0.0,-1.0,0.0,0.018985,0.010386
logisim,0.013064,0.004709,0.005555,0.0,-1.0,0.0,0.00793,0.00503
marvin,0.041722,0.033479,0.069141,0.074813,0.03688,0.0,0.040433,0.0
nekohtml,0.022546,0.023204,0.061086,0.063439,0.026877,0.0,0.031082,0.0
