Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.595,0.96,0.54,0.5,0.5,0.104333,0.925333,0.29
borg,0.979667,0.993333,0.996667,1.0,-1.0,0.028,1.0,0.2
datapro4j,0.583333,0.951667,0.406667,0.7,0.0,0.0,0.914333,0.059
ical4j,0.860714,0.917,0.841667,0.839286,0.909333,0.016667,0.902333,0.114
java2html,0.0,1.0,0.0,0.0,-1.0,0.0,0.996667,0.117
jsapar,0.163333,0.892333,0.133333,0.0,0.046429,0.018667,0.766667,0.18
jxls,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.171
logisim,1.0,1.0,1.0,1.0,-1.0,0.11,1.0,0.266
marvin,0.42,0.963333,0.283333,0.7,0.093333,0.005,0.830333,0.026
nekohtml,0.69,0.962333,0.565,0.85,0.5,0.027,0.923333,0.181
