Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.267687,0.055119,0.059585,0.0,0.0,0.0,0.068532,0.022767
borg,0.00682,0.0,0.0,0.0,-1.0,0.004972,0.0,0.009066
datapro4j,0.55382,0.071627,0.056423,0.0,0.0,0.0,0.070295,0.050447
ical4j,0.043322,0.066968,0.128397,0.0,0.109949,0.001236,0.073729,0.01333
java2html,0.0,4.67E-4,0.0,0.0,-1.0,0.0,0.0,0.02076
jsapar,0.575461,0.063631,0.145954,0.0,0.018898,0.00344,0.009419,0.030452
jxls,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.011352
logisim,0.0,0.0,0.0,0.0,-1.0,0.001594,0.0,0.001414
marvin,0.58095,0.011469,0.128877,0.0,0.041282,0.002783,0.054469,0.0227
nekohtml,0.290946,0.038716,0.152518,0.0,0.0,6.95E-4,0.049674,0.028378
