Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,1.0,1.0,1.0,1.0,1.0,0.016667,1.0,0.023
borg,1.0,1.0,1.0,1.0,-1.0,0.575,1.0,0.11
datapro4j,1.0,1.0,1.0,1.0,1.0,0.001,1.0,0.065
ical4j,1.0,1.0,0.990667,1.0,0.969333,0.027667,0.996667,0.104
java2html,1.0,1.0,1.0,1.0,-1.0,0.041786,1.0,0.073
jsapar,1.0,1.0,0.974667,1.0,1.0,0.014667,1.0,0.052
jxls,1.0,1.0,1.0,1.0,-1.0,0.089667,1.0,0.102
logisim,-1.0,1.0,1.0,1.0,-1.0,0.229333,1.0,0.142
marvin,0.979,0.996667,0.98,0.99,0.99,0.009333,0.986667,0.021
nekohtml,1.0,1.0,0.920667,1.0,1.0,0.007,1.0,0.023
