Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.0,0.0,0.0,0.0,0.0,0.002103,0.0,0.009799
borg,0.0,0.0,0.0,0.0,-1.0,0.012127,0.0,0.00881
datapro4j,0.0,0.0,0.0,0.0,0.0,0.00419,0.0,0.020556
ical4j,0.0,0.0,0.0,0.0,0.004268,0.002017,0.0,0.008417
java2html,0.0,0.0,0.0,0.0,-1.0,0.01041,0.0,0.009359
jsapar,0.0,0.0,0.001903,0.0,0.0,0.003193,0.0,0.009284
jxls,0.0,0.0,0.0,0.0,-1.0,0.007942,0.0,0.008744
logisim,-1.0,0.0,0.0,0.0,-1.0,0.003284,0.0,0.007269
marvin,0.057058,0.00126,0.027053,0.0,0.002297,0.007553,0.007938,0.007919
nekohtml,0.0,0.0,0.005023,0.0,0.0,0.001005,0.0,0.014333
