Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.822,0.897,0.741333,0.78,0.912,0.050667,0.906333,0.044
borg,0.91,0.926667,0.933333,0.97,-1.0,-1.0,0.946667,0.127
datapro4j,0.883,0.919333,0.804667,0.96,0.871,0.0,0.726,0.0
ical4j,0.788667,0.802667,0.748276,0.688,0.779667,0.004667,0.791,0.056
java2html,0.839667,1.0,0.942333,1.0,-1.0,-1.0,1.0,0.023
jsapar,0.844333,0.838,0.651667,0.7,0.714643,0.0,0.703333,0.031
jxls,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.077
logisim,0.993333,1.0,1.0,1.0,-1.0,-1.0,1.0,0.112
marvin,0.849,0.944333,0.768,0.86,0.7,3.33E-4,0.712667,0.006
nekohtml,0.862667,0.905667,0.695333,0.98,0.899,3.33E-4,0.886,0.005
