Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.836667,0.853333,0.863333,0.883333,0.893333,0.034667,0.886667,0.095
borg,0.896667,0.933333,0.91,0.995,-1.0,0.013,0.943333,0.071
datapro4j,0.723667,0.779333,0.672333,0.767857,0.695667,0.008,0.594667,0.113
ical4j,0.8,0.823333,0.71,0.807407,0.814667,0.032667,0.736333,0.073
java2html,0.893333,0.976667,0.913333,0.924138,-1.0,0.022667,0.976667,0.059
jsapar,-1.0,0.689333,0.601,-1.0,0.773793,0.033,0.502333,0.063
jxls,0.923333,0.993333,0.923333,0.961538,-1.0,0.060333,0.99,0.13
logisim,0.880769,0.943333,0.896667,0.986667,-1.0,0.022,0.913333,0.071
marvin,0.846552,0.963,0.796667,0.95381,0.956333,0.015333,0.89,0.06
nekohtml,0.706667,0.75,0.694667,0.75,0.753333,0.017667,0.786,0.048
