Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.001491,0.001667,0.005516,0.003849,0.003849,0.003044,0.003591,0.00648
borg,0.0,0.003849,0.0,0.0,-1.0,0.002438,0.0,0.00349
datapro4j,0.094893,0.080784,0.125896,0.091719,0.063498,0.003283,0.055094,0.01165
ical4j,0.062872,0.058838,0.049261,0.034024,0.047939,6.54E-4,0.055408,0.0059
java2html,0.0,0.001925,0.0,0.0,-1.0,0.005076,0.0,0.009057
jsapar,-1.0,0.036766,0.050185,-1.0,0.034593,0.002352,0.036745,0.003057
jxls,0.001667,0.004212,0.0,0.0,-1.0,0.001401,0.001667,0.011374
logisim,0.051958,0.066922,0.054724,0.026943,-1.0,0.002592,0.038137,0.003
marvin,0.049084,0.060342,0.080806,0.027627,0.055608,0.001058,0.049619,0.010341
nekohtml,0.0,0.001925,0.006875,0.010825,0.011303,0.001138,0.007746,0.008535
