Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.663333,0.977667,0.656667,0.0,0.0,0.0,0.951667,0.0
borg,0.992308,1.0,1.0,1.0,-1.0,0.043333,1.0,0.096
datapro4j,0.846667,0.987333,0.82,0.9,0.0,0.0,0.976,0.0
ical4j,0.884444,0.945,0.906,0.842105,0.96,0.094783,0.925667,0.112
java2html,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
jsapar,0.64,0.974333,0.25,0.9,0.0,0.0,0.949667,0.0
jxls,1.0,1.0,1.0,1.0,-1.0,0.015556,1.0,0.0
logisim,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0
marvin,0.906667,1.0,0.96,1.0,0.8,0.0,0.996,0.0
nekohtml,0.806667,0.992333,0.86,1.0,0.0,0.0,0.987333,0.0
