Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.989,0.999,0.877667,1.0,0.935,0.095,0.951,0.162
borg,-1.0,0.99,0.978333,-1.0,-1.0,0.096333,0.912333,0.256
datapro4j,0.995,1.0,0.993,1.0,0.976333,0.073667,0.982667,0.411
ical4j,0.805625,1.0,0.999667,0.966667,0.959333,0.177667,0.989667,0.427
java2html,0.962667,0.999667,0.866667,0.98,-1.0,0.066333,0.936,0.093
jsapar,0.971333,0.998667,0.809,0.9,0.908571,0.057333,0.947667,0.135
jxls,-1.0,1.0,1.0,-1.0,-1.0,0.083,0.986667,0.182
logisim,-1.0,1.0,1.0,-1.0,-1.0,0.092667,1.0,0.332
marvin,0.965,0.982667,0.971333,0.98,0.974,0.066,0.973333,0.182
nekohtml,0.99,0.990333,0.879667,0.97,0.922667,0.116667,0.962667,0.247
