Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.825333,0.919667,0.759667,0.9,0.963,0.020714,0.976,0.188
borg,0.863333,0.94,0.91,0.96,-1.0,-1.0,0.963333,0.17
datapro4j,0.946667,0.978667,0.912,0.99,0.957333,0.034,0.918333,0.136
ical4j,0.751379,0.776,0.671667,0.716667,0.825667,0.117647,0.723,0.26
java2html,0.766,0.98,0.813333,0.8,-1.0,0.0375,0.976667,0.076
jsapar,0.818,0.946333,0.752333,0.9,0.9675,0.014286,0.963333,0.038
jxls,0.98,1.0,1.0,1.0,-1.0,0.01,1.0,0.161
logisim,0.913333,1.0,1.0,1.0,-1.0,-1.0,1.0,0.222
marvin,0.962667,1.0,0.960333,1.0,1.0,0.005,0.986667,0.113
nekohtml,0.896667,0.937333,0.769,1.0,0.957333,0.024,0.922,0.174
