Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.032124,0.005854,0.025964,0.0,0.0,4.33E-4,0.006061,0.00533
borg,0.001361,0.002751,0.002852,0.0,-1.0,-1.0,0.002151,0.002015
datapro4j,0.070189,0.06867,0.022326,0.057735,0.046295,5.56E-4,0.072168,0.009806
ical4j,0.053092,0.055891,0.051325,0.031399,0.044092,0.0,0.027156,0.002407
java2html,0.007093,0.0,0.0,0.0,-1.0,0.0,0.0,0.019347
jsapar,0.017276,0.002987,0.013776,0.0,8.93E-4,0.00315,0.0,0.028415
jxls,0.001667,0.0,0.0,0.0,-1.0,0.0,0.0,0.004051
logisim,0.01,0.0,0.002689,0.0,-1.0,-1.0,0.0,0.004858
marvin,0.055149,0.004772,0.010768,0.0,0.004684,0.0,0.01168,0.022599
nekohtml,0.065855,0.025292,0.030478,0.057735,0.019265,0.0,0.052503,0.017343
