Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.530667,0.613,0.446,0.380667,0.586207,0.0,0.508333,0.0
borg,0.559667,0.625333,0.467667,0.371667,-1.0,0.0,0.479,0.0
datapro4j,0.642333,0.703,0.441333,0.554667,0.652333,0.0,0.671,0.0
ical4j,0.590333,0.637,0.433667,0.535333,0.533,0.001,0.617,0.0
java2html,0.457,0.511667,0.432,0.278333,-1.0,0.0,0.443667,0.0
jsapar,0.451667,0.498667,0.386,0.314333,0.502414,0.0,0.419667,0.0
jxls,0.585667,0.651,0.526667,0.386,-1.0,0.0,0.540333,0.0
logisim,0.506,0.559,0.463667,0.407333,-1.0,0.0,0.541,0.0
marvin,0.644,0.681,0.518667,0.516,0.535667,0.0,0.588667,0.0
nekohtml,0.506,0.554667,0.433,0.374667,0.504667,0.0,0.527,0.0
