Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.635714,0.892,0.793667,0.783333,0.887586,0.0,0.826,0.0
borg,0.458519,0.785,0.726,0.846667,-1.0,0.0,0.805333,0.0
datapro4j,0.885333,0.973,0.925667,0.942667,0.985667,3.33E-4,0.935667,0.0
ical4j,0.80069,0.912333,0.867,0.92,0.905333,0.004333,0.924667,0.001
java2html,0.755172,0.856,0.808667,0.818,-1.0,0.0,0.817667,0.0
jsapar,0.607407,0.898333,0.837,0.786333,0.883793,0.0,0.766,0.0
jxls,0.721071,0.907667,0.871333,0.872333,-1.0,0.0,0.896333,0.0
logisim,0.602609,0.899333,0.850333,0.94,-1.0,0.0,0.892333,0.0
marvin,0.782222,0.918333,0.896,0.880333,0.931667,0.0,0.857667,0.0
nekohtml,0.701379,0.923333,0.902,0.899333,0.891,0.0,0.864333,0.0
