Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.807333,0.845333,0.646667,0.803,0.827,0.0,0.665667,0.018
borg,0.718667,0.768,0.502333,0.68,-1.0,-1.0,0.58,0.012
datapro4j,0.897333,0.908667,0.792667,0.909,0.871667,0.0,0.869333,0.006
ical4j,0.842,0.898667,0.777241,0.83,0.824667,0.001333,0.846667,0.068
java2html,0.827,0.855,0.671,0.780333,-1.0,-1.0,0.569333,0.023
jsapar,0.766667,0.777667,0.605333,0.726333,0.664138,0.0,0.577333,0.033
jxls,0.88,0.905,0.724667,0.785667,-1.0,-1.0,0.739,0.022
logisim,0.818667,0.846667,0.8,0.8,-1.0,-1.0,0.823,0.018
marvin,0.882,0.906,0.842333,0.893,0.927333,0.0,0.854333,0.0
nekohtml,0.879667,0.934,0.854667,0.866667,0.943,0.0,0.893,0.012
