Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.117618,0.123336,0.145591,0.064999,0.058625,0.017406,0.022519,0.039738
borg,0.065488,0.035761,0.081373,0.131237,-1.0,-1.0,0.023705,0.039161
datapro4j,0.043758,0.032319,0.049594,0.071066,0.047251,7.75E-4,0.03806,0.008908
ical4j,0.016687,0.015311,0.02489,0.001925,0.028142,0.013888,0.019114,0.020035
java2html,0.035219,0.060623,0.060038,0.009623,-1.0,-1.0,0.029304,0.054964
jsapar,0.071737,0.044024,0.066613,0.144048,0.020633,0.026566,0.066082,0.097581
jxls,0.038419,0.031204,0.036937,0.007698,-1.0,-1.0,0.014052,0.031917
logisim,0.010439,0.007233,0.002887,0.001925,-1.0,-1.0,0.008461,0.039827
marvin,0.038951,0.03153,0.088613,0.039757,0.033245,0.006012,0.040006,0.0
nekohtml,0.043273,0.030702,0.085168,0.05966,0.019433,0.007148,0.015088,0.029875
