Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.806333,0.880333,0.772333,0.873,0.901333,0.028571,0.832,0.132
borg,0.783667,0.841333,0.620333,0.699,-1.0,-1.0,0.709,0.04
datapro4j,0.904333,0.943333,0.867333,0.933,0.955333,0.01,0.906333,0.096
ical4j,0.825333,0.887667,0.803333,0.813333,0.883,0.061765,0.830333,0.116
java2html,0.807333,0.866,0.766667,0.825333,-1.0,0.0325,0.73,0.027
jsapar,0.799333,0.852333,0.748,0.845667,0.901724,0.032857,0.777,0.078
jxls,0.812667,0.825667,0.73,0.77,-1.0,0.025,0.72,0.061
logisim,0.855667,0.906333,0.883,0.86,-1.0,-1.0,0.9,0.008
marvin,0.891667,0.959667,0.864333,0.916,0.99,0.018667,0.973,0.04
nekohtml,0.874667,0.922333,0.873667,0.892667,0.949333,0.033,0.895,0.089
