Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.040067,0.021374,0.074639,0.001925,0.018718,0.007016,0.030058,0.050569
borg,0.032771,0.019337,0.016649,0.005774,-1.0,-1.0,0.02107,0.027003
datapro4j,0.029219,0.026461,0.032716,0.028843,0.027091,0.004524,0.030356,0.023077
ical4j,0.05361,0.043561,0.064215,0.026285,0.037819,0.001024,0.044105,0.009941
java2html,0.051716,0.036463,0.010355,0.030792,-1.0,0.01714,0.045849,0.018706
jsapar,0.040444,0.035774,0.057769,0.009524,0.032278,0.014461,0.029916,0.025242
jxls,0.023544,0.031408,0.006076,0.003849,-1.0,0.016755,0.026724,0.016844
logisim,0.065406,0.014427,0.034904,0.017321,-1.0,-1.0,0.022504,0.053015
marvin,0.06098,0.049205,0.053992,0.026943,0.049948,0.015072,0.042717,0.010058
nekohtml,0.024095,0.01828,0.032596,0.007698,0.02047,0.00334,0.020157,0.031618
