Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.709333,0.826667,0.685,0.882333,0.86,0.38875,0.83,0.005
borg,0.460333,0.515833,0.340667,0.790833,-1.0,0.12625,0.569333,0.0
datapro4j,0.880333,0.94,0.889,0.927,0.936333,0.79375,0.938667,0.001
ical4j,0.662,0.758667,0.694,0.866333,0.741333,0.34875,0.794,0.007
java2html,0.612667,0.62,0.607667,0.753846,-1.0,0.235833,0.724,0.0
jsapar,0.598667,0.726,0.583667,0.701667,0.734138,0.349583,0.689333,0.001
jxls,0.665,0.687143,0.665,0.9076,-1.0,0.311667,0.772,0.0
logisim,0.682333,0.683684,0.695333,0.926154,-1.0,0.245217,0.788,0.001
marvin,0.830333,0.901667,0.831,0.892667,0.913333,0.623913,0.903,0.0
nekohtml,0.726333,0.854667,0.760333,0.859667,0.881667,0.545217,0.845667,0.0
