Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.059386,0.063606,0.045424,0.007698,0.073249,0.067009,0.065733,0.044478
borg,0.096069,0.103737,0.187841,0.059307,-1.0,0.073522,0.09315,0.011547
datapro4j,0.079737,0.068424,0.070047,0.0,0.064648,0.075251,0.057592,0.043316
ical4j,0.040663,0.036729,0.031397,0.001925,0.048328,0.066568,0.035525,0.01244
java2html,0.062541,0.107256,0.078813,0.025694,-1.0,0.096331,0.094589,0.011547
jsapar,0.082053,0.068051,0.083224,0.044191,0.078006,0.059485,0.055484,0.041815
jxls,0.088533,0.080312,0.089422,0.03258,-1.0,0.081593,0.072156,0.047843
logisim,0.068103,0.061281,0.074555,0.008882,-1.0,0.084541,0.038739,0.027292
marvin,0.091881,0.058708,0.090386,0.061061,0.057029,0.055179,0.071947,0.004089
nekohtml,0.057047,0.058002,0.067849,0.015396,0.071859,0.068297,0.070144,0.032138
