Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.085613,0.048889,0.075718,0.074669,0.027758,0.002722,0.051168,0.006092
borg,0.040628,0.110899,0.079421,-1.0,-1.0,0.0,0.06866,0.006255
datapro4j,0.013691,0.002773,0.009121,0.0,0.001622,0.0,0.003893,0.028102
ical4j,0.083897,0.058784,0.08657,0.031273,0.057208,0.003625,0.062075,0.006
java2html,0.082883,0.082942,0.081699,-1.0,-1.0,0.0,0.085849,0.016816
jsapar,0.08541,0.0605,0.057337,0.059727,0.040788,0.002751,0.069976,0.009426
jxls,0.061418,0.039992,0.099264,-1.0,-1.0,0.0,0.073567,0.010208
logisim,0.064602,0.04233,0.110124,-1.0,-1.0,0.0,0.033458,0.03082
marvin,0.064149,0.040349,0.079893,0.099254,0.028678,0.006978,0.037206,0.022112
nekohtml,0.080058,0.052174,0.059726,0.049414,0.021196,0.01804,0.046686,0.01164
