Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.962333,0.993667,0.986667,0.962222,0.983333,0.002,1.0,0.066
borg,0.986667,0.956667,0.983333,0.896667,-1.0,-1.0,0.966667,0.095
datapro4j,1.0,1.0,1.0,0.976667,1.0,0.963333,1.0,0.0
ical4j,0.866667,0.883333,0.87,0.846667,0.845333,0.073333,0.836667,0.081
java2html,0.91,0.92,0.926667,0.883333,-1.0,-1.0,0.93,0.015
jsapar,0.939333,0.95,0.986667,0.9232,0.948276,0.101333,0.983333,0.093
jxls,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.02
logisim,1.0,1.0,1.0,0.983333,-1.0,-1.0,1.0,0.0
marvin,1.0,1.0,1.0,0.996667,1.0,0.0,1.0,0.0
nekohtml,0.923333,0.976667,0.963333,0.956667,0.973333,0.063333,0.976667,0.01
