Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.001429,0.0,9.85E-4,0.0,0.001015,0.007832,0.0,0.001
borg,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.007182
datapro4j,0.0,0.0,0.0,0.0,0.0,0.027631,0.0,0.0
ical4j,0.0,0.0,2.43E-4,0.0,0.0,0.002323,0.005,0.004041
java2html,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
jsapar,0.0,0.0,0.0,0.0,0.0,0.016811,0.0,0.001021
jxls,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
logisim,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
marvin,0.0,0.0,0.0,0.0,0.0,0.001392,0.0,0.0
nekohtml,0.0,0.0,0.0,0.0,0.0,0.008314,0.0,0.0
