Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.121972,0.096343,0.057468,0.054772,0.059033,0.00564,0.087378,0.005248
borg,0.051739,0.070942,0.112998,0.042339,-1.0,0.006007,0.076423,0.00868
datapro4j,0.038559,0.021376,0.022665,0.0,0.008387,0.004491,0.01859,0.021547
ical4j,0.034213,0.076502,0.071574,0.0,0.059101,0.01019,0.079806,0.009029
java2html,0.174648,0.126472,0.052704,0.0,-1.0,0.008606,0.125222,0.008162
jsapar,0.110606,0.054551,0.050027,0.0,0.036404,0.00756,0.031067,0.00328
jxls,0.043546,0.066996,0.090785,0.04853,-1.0,0.001659,0.076118,0.009933
logisim,0.023781,0.066097,0.084882,0.0,-1.0,0.0,0.065657,0.001066
marvin,0.087777,0.029797,0.05899,0.0,0.018296,0.008583,0.024084,0.013147
nekohtml,0.095922,0.028239,0.066425,0.109545,0.014096,0.004248,0.01737,0.006594
