Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.303956,0.620447,0.398367,0.325747,0.4522,0.0,0.5042,0.00318
borg,0.287333,0.625133,0.396067,0.3984,-1.0,0.0,0.5602,0.0
datapro4j,0.528333,0.621133,0.415533,0.5868,0.452267,0.0,0.6088,0.0096
ical4j,0.0655,0.477333,0.202933,0.208,0.327733,0.0,0.3962,0.01165
java2html,0.277033,0.547867,0.2978,0.342182,-1.0,0.0,0.483733,0.0
jsapar,0.192,0.63502,0.2257,-1.0,0.465347,0.0,0.464467,0.01656
jxls,0.279357,0.614133,0.2884,0.337455,-1.0,0.0,0.4546,0.008
logisim,0.244893,0.4878,0.231667,0.283,-1.0,0.0,0.433333,0.0
marvin,0.562667,0.6916,0.475067,0.571733,0.45,0.0,0.619467,0.0171
nekohtml,0.2085,0.634667,0.416067,0.38,0.373467,0.0,0.5602,0.0039
