Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.125892,0.064822,0.087885,0.046803,0.033325,0.013464,0.028615,0.188953
borg,0.014382,0.046541,0.058156,0.046188,-1.0,0.0,0.038718,0.071954
datapro4j,0.057068,0.025342,0.059908,0.133527,0.016874,0.0,0.030709,0.130086
ical4j,0.03615,0.052903,0.065948,0.008248,0.026794,0.0,0.022103,0.090282
java2html,0.06905,0.046659,0.083745,0.097471,-1.0,0.0,0.050116,0.095852
jsapar,0.0,0.060501,0.11233,-1.0,0.025284,0.0,0.024868,0.13397
jxls,0.113032,0.051809,0.058807,0.02445,-1.0,0.0,0.032666,0.014111
logisim,0.095183,0.045625,0.046894,0.014434,-1.0,0.0,0.039885,0.067795
marvin,0.070418,0.02968,0.100035,0.080695,0.010092,0.0,0.042864,0.1656
nekohtml,0.170218,0.043056,0.128466,0.091432,0.007906,0.0,0.032741,0.110238
