Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.073187,0.33402,0.238833,0.10064,0.231013,0.0,0.303107,0.00579
borg,0.103442,0.49418,0.19754,0.3472,-1.0,0.0,0.466787,0.0088
datapro4j,0.264873,0.479467,0.326173,0.462827,0.273747,0.0,0.400493,0.01038
ical4j,0.081471,0.3132,0.141687,0.1056,0.17084,0.0,0.23148,0.01092
java2html,0.082257,0.39074,0.242987,0.2019,-1.0,0.0,0.348333,0.01046
jsapar,0.0866,0.37,0.207227,0.1716,0.23632,0.0,0.291893,0.00512
jxls,0.057667,0.383927,0.182567,-1.0,-1.0,0.0,0.347507,0.00669
logisim,0.05476,0.34962,0.177393,0.1152,-1.0,0.0,0.305853,0.00731
marvin,0.27382,0.479047,0.315673,0.312573,0.313953,0.0,0.39384,0.00792
nekohtml,0.160686,0.39428,0.257467,0.167473,0.243613,0.0,0.28912,0.01107
