Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.170012,0.086354,0.051137,0.037257,0.038237,0.0,0.029536,0.162005
borg,0.074556,0.05507,0.067431,0.0,-1.0,0.0,0.02426,0.043327
datapro4j,0.116254,0.084019,0.054317,0.119939,0.02858,0.0,0.022275,0.072353
ical4j,0.06491,0.073181,0.036504,0.05,0.008822,0.0,0.012539,0.055043
java2html,0.135714,0.065168,0.055951,0.024595,-1.0,0.005963,0.035187,0.055033
jsapar,0.050868,0.07878,0.056869,0.02582,0.03626,0.0,0.023973,0.06788
jxls,0.100394,0.071398,0.057224,-1.0,-1.0,0.001179,0.020491,0.04558
logisim,0.16274,0.069732,0.04843,0.0,-1.0,0.0,0.02259,0.043817
marvin,0.147962,0.080695,0.061337,0.095621,0.042222,0.003664,0.035934,0.076619
nekohtml,0.127927,0.086159,0.05667,0.041813,0.025915,0.0,0.021083,0.079446
