Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.089592,0.061148,0.04907,0.021429,0.013719,9.83E-4,0.042305,0.077095
borg,0.0,0.036059,0.054127,0.173205,-1.0,0.0,0.051003,0.060137
datapro4j,0.071459,0.039661,0.045769,0.068329,0.010748,6.42E-4,0.041016,0.042283
ical4j,-1.0,0.040997,0.038233,0.0,0.009369,0.0,0.036303,0.095578
java2html,0.045313,0.044699,0.071012,0.0,-1.0,9.07E-4,0.063194,0.093385
jsapar,-1.0,0.048224,0.06531,-1.0,0.025695,0.011048,0.030566,0.062302
jxls,0.057735,0.043981,0.057948,0.0,-1.0,0.00618,0.050112,0.099222
logisim,0.0,0.051079,0.045814,-1.0,-1.0,0.0,0.017082,0.028893
marvin,0.038999,0.047207,0.073593,0.0,0.056101,0.0,0.046601,0.076962
nekohtml,0.0,0.055819,0.054502,0.0,0.032615,0.0,0.032358,0.063254
