Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.683429,0.863,0.600633,0.665333,0.871267,0.0,0.867933,0.04858
borg,-1.0,0.72512,0.299133,-1.0,-1.0,0.0,0.724667,0.05687
datapro4j,0.9,0.97,0.9654,0.9,0.79,0.0,0.445667,0.0898
ical4j,0.562844,0.9178,0.550453,0.935,0.928133,0.0,0.865973,0.07731
java2html,0.437,0.60064,0.30006,0.378,-1.0,0.0,0.551733,0.03605
jsapar,0.503067,0.807067,0.422093,0.6928,0.80836,0.0,0.751693,0.04022
jxls,-1.0,0.70152,0.335467,-1.0,-1.0,0.0,0.649733,0.05003
logisim,0.432,0.602933,0.317733,0.576,-1.0,0.0,0.570333,0.03795
marvin,0.871333,0.917,0.842867,0.892308,0.89,0.0,0.8934,0.0485
nekohtml,0.841727,0.907467,0.809733,0.819,0.8932,0.0,0.5018,0.0525
