Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.134042,0.415847,0.24026,0.197,0.237233,0.0,0.254367,0.0011
borg,0.189333,0.529587,0.230867,0.288,-1.0,0.0,0.212933,0.01498
datapro4j,0.3288,0.5344,0.335,0.4806,0.306667,0.0,0.2824,0.0023
ical4j,0.091222,0.37956,0.18798,-1.0,0.1938,0.0,0.21488,0.00542
java2html,0.0879,0.470773,0.2336,0.288,-1.0,0.0,0.2486,0.006
jsapar,0.0465,0.3919,0.130467,-1.0,0.236053,0.0,0.283067,0.00114
jxls,0.184038,0.551673,0.23086,0.276,-1.0,0.0,0.2768,0.00854
logisim,0.0516,0.464433,0.226,0.18,-1.0,0.0,0.105267,3.0E-4
marvin,0.2712,0.528133,0.3188,0.331467,0.333533,0.0,0.290533,0.0
nekohtml,0.141231,0.4594,0.255867,0.163636,0.206133,0.0,0.326667,0.0018
