Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.082648,0.063044,0.06244,0.042252,0.023591,0.002722,0.049264,0.055318
borg,0.108098,0.04401,0.050862,0.0,-1.0,8.08E-4,0.041265,0.102012
datapro4j,0.087429,0.050103,0.031568,0.092438,0.022087,0.0,0.047843,0.155377
ical4j,0.041707,0.049133,0.03758,-1.0,0.011096,0.0,0.034114,0.042206
java2html,0.067406,0.057111,0.082067,0.039741,-1.0,0.0,0.058221,0.057472
jsapar,0.315018,0.064232,0.07571,-1.0,0.030876,0.01,0.043312,0.029687
jxls,0.106556,0.050828,0.072645,0.0,-1.0,0.009726,0.046654,0.055306
logisim,0.028213,0.052353,0.048915,0.0,-1.0,0.0,0.021052,0.024576
marvin,0.150799,0.069564,0.070137,0.106297,0.02786,0.0,0.065878,0.059277
nekohtml,0.098107,0.066842,0.056506,0.028153,0.016187,0.001661,0.055905,0.006623
