Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.283227,0.50335,0.279965,0.441585,0.30855,0.0,0.400231,0.00446
borg,0.371231,0.805631,0.591,0.592692,-1.0,0.0,0.751846,0.0305
datapro4j,0.296808,0.462654,0.246,0.491077,0.186192,0.0,0.393,0.0139
ical4j,0.150896,0.338454,0.197804,0.284104,0.198077,0.0,0.28596,0.01478
java2html,0.263576,0.595512,0.34945,0.454808,-1.0,0.0,0.4865,0.00638
jsapar,0.110836,0.409277,0.133942,0.219675,0.191031,0.0,0.243146,0.00386
jxls,0.264,0.605962,0.328,0.489423,-1.0,0.0,0.501192,0.05445
logisim,0.1976,0.55674,0.364,0.418636,-1.0,0.0,0.520846,0.01795
marvin,0.32436,0.5218,0.25536,0.50388,0.21488,0.0,0.40864,3.0E-4
nekohtml,0.230833,0.45156,0.20408,0.289087,0.2106,0.0,0.39756,5.0E-4
