Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.073709,0.052925,0.083075,0.028868,0.086671,0.008807,0.056999,0.06206
borg,0.046366,0.058517,0.049884,0.003849,-1.0,0.004821,0.048827,0.036761
datapro4j,0.09264,0.056713,0.082659,0.150537,0.060982,0.0,0.098181,0.042058
ical4j,0.10072,0.050286,0.079478,0.086603,0.046964,5.89E-4,0.069496,0.053395
java2html,0.073077,0.051174,0.077899,0.015396,-1.0,0.002166,0.053759,0.041401
jsapar,0.097821,0.064019,0.100537,-1.0,0.043476,0.002988,0.086555,0.053303
jxls,0.112113,0.049964,0.089599,0.025019,-1.0,0.003339,0.065785,0.032105
logisim,0.070518,0.037289,0.066203,0.0,-1.0,0.002296,0.047965,0.027311
marvin,0.131455,0.061568,0.108504,0.163999,0.103751,0.0,0.073849,0.073873
nekohtml,0.094958,0.066256,0.121809,0.051609,0.019842,0.002095,0.086686,0.062171
