Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.489273,0.879927,0.443887,0.466586,0.881873,0.0,0.834307,0.05601
borg,0.45032,0.770533,0.5522,0.563143,-1.0,0.0,0.692733,0.19212
datapro4j,0.871267,0.881267,0.554533,0.9054,0.895867,0.0,0.843533,0.0829
ical4j,0.328013,0.623387,0.3844,0.359733,0.619533,1.8E-4,0.586547,0.09246
java2html,0.44835,0.7426,0.44914,0.483,-1.0,0.0,0.55882,0.03701
jsapar,0.312367,0.763947,0.361867,0.388343,0.552627,0.0,0.338133,0.07498
jxls,0.367,0.5598,0.350667,0.424,-1.0,0.0,0.515,0.09367
logisim,0.316769,0.619167,0.4008,0.392143,-1.0,0.0,0.563467,0.1136
marvin,0.831733,0.8716,0.620667,0.828267,0.8808,0.0,0.837467,0.0865
nekohtml,0.627067,0.831533,0.572533,0.447455,0.862867,0.0,0.812867,0.028
