Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.331553,0.50572,0.448673,0.380813,0.223733,8.27E-4,0.385107,0.03806
borg,0.065557,0.588313,0.325233,0.443973,-1.0,0.0,0.302733,0.01911
datapro4j,0.30158,0.539253,0.355713,0.383873,0.32798,0.0,0.523193,0.08234
ical4j,0.242129,0.591167,0.372553,0.36678,0.315767,0.006627,0.464653,0.09267
java2html,0.129427,0.478153,0.3267,0.283747,-1.0,6.13E-4,0.29786,0.01292
jsapar,0.080354,0.46752,0.327833,-1.0,0.255333,0.002113,0.279553,0.03207
jxls,0.378787,0.702673,0.603633,0.592213,-1.0,0.008013,0.572627,0.1004
logisim,0.12588,0.570987,0.462547,0.353558,-1.0,0.0,0.508273,0.05061
marvin,0.2327,0.532313,0.359733,0.267975,0.280667,0.0024,0.477893,0.02072
nekohtml,0.14148,0.54036,0.38288,0.3276,0.3017,0.001113,0.300707,0.02234
