Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.164836,0.078933,0.070286,0.099925,0.0305,0.005925,0.028308,0.075357
borg,0.16168,0.055514,0.049264,0.118312,-1.0,0.003591,0.02281,0.061962
datapro4j,0.121973,0.062589,0.05919,0.121828,0.04219,0.017852,0.049798,0.084224
ical4j,0.07324,0.054364,0.046728,0.087651,0.013424,0.003334,0.014931,0.072432
java2html,0.199394,0.061615,0.057579,0.076447,-1.0,0.009682,0.051372,0.061004
jsapar,0.135467,0.076278,0.09037,0.072528,0.036567,0.006464,0.039901,0.072683
jxls,0.119854,0.055191,0.046685,0.050809,-1.0,0.004192,0.027063,0.058297
logisim,0.060921,0.042145,0.078598,0.043688,-1.0,0.008339,0.025509,0.072349
marvin,0.146332,0.074201,0.085727,0.088698,0.058482,7.72E-4,0.040684,0.082834
nekohtml,0.191553,0.063583,0.064745,0.127511,0.036259,0.011065,0.031618,0.071171
