Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.310643,0.836113,0.705093,-1.0,0.4606,1.8E-4,0.6932,0.06097
borg,0.435333,0.9158,0.751267,0.48,-1.0,0.043787,0.788733,0.1677
datapro4j,0.7998,0.9386,0.831267,0.487692,0.657333,0.0044,0.856133,0.1817
ical4j,0.556667,0.89576,0.801267,0.4875,0.777133,0.02642,0.756333,0.21101
java2html,0.523077,0.898733,0.774533,0.48,-1.0,0.00912,0.819,0.06992
jsapar,0.289267,0.819373,0.653853,-1.0,0.545333,0.0028,0.599267,0.0525
jxls,0.620667,0.835267,0.747667,0.45,-1.0,0.003027,0.802333,0.12442
logisim,0.28,0.908,0.780667,-1.0,-1.0,0.0,0.877467,0.14571
marvin,0.518273,0.907333,0.793467,-1.0,0.632,0.003,0.863067,0.0692
nekohtml,0.633857,0.891033,0.799733,0.45,0.646533,0.003467,0.785333,0.054
