Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.065983,0.048456,0.084795,-1.0,0.038647,0.009171,0.060169,0.063227
borg,0.066908,0.032913,0.048786,0.0,-1.0,0.004977,0.040217,0.037164
datapro4j,0.207249,0.033413,0.065464,0.031088,0.049907,0.00321,0.048371,0.051728
ical4j,0.096179,0.022426,0.035961,0.0,0.011512,0.002751,0.025696,0.072053
java2html,0.096274,0.035733,0.066886,0.0,-1.0,0.040903,0.057225,0.059693
jsapar,0.031519,0.054835,0.070826,-1.0,0.059989,0.007652,0.075131,0.067185
jxls,0.090706,0.024923,0.052374,0.0,-1.0,0.009366,0.034852,0.0533
logisim,0.0,0.017519,0.074367,-1.0,-1.0,0.004722,0.025139,0.064314
marvin,0.056742,0.03869,0.093903,-1.0,0.057881,0.015499,0.066741,0.062476
nekohtml,0.091933,0.038393,0.063723,0.0,0.017399,0.007453,0.03637,0.053482
