Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.094413,0.222413,0.155587,0.23696,0.095973,0.0,0.172807,0.00172
borg,0.093093,0.43742,0.170607,0.222933,-1.0,0.0,0.223333,0.032
datapro4j,0.143353,0.279187,0.173033,0.379847,0.1837,4.0E-5,0.30882,0.03071
ical4j,0.079667,0.244707,0.11958,0.204,0.117327,4.0E-4,0.14776,0.02337
java2html,0.09076,0.323967,0.16972,0.299413,-1.0,0.0,0.210793,0.01825
jsapar,0.073917,0.213587,0.084127,0.06145,0.068207,0.0,0.13366,1.2E-4
jxls,0.1176,0.36898,0.169193,0.304147,-1.0,0.0,0.300267,0.05421
logisim,0.070753,0.30472,0.18356,0.250375,-1.0,0.0,0.279527,0.03285
marvin,0.12178,0.277513,0.154047,0.314087,0.160133,0.0,0.301833,0.0
nekohtml,0.09512,0.25,0.14294,0.16022,0.091427,0.0,0.176027,2.7E-4
