Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.142767,0.091516,0.062772,0.091397,0.05757,0.008509,0.045496,0.039893
borg,0.184623,0.09065,0.078917,0.108762,-1.0,0.00692,0.056462,0.070161
datapro4j,0.117047,0.09538,0.037816,0.080559,0.038178,0.00449,0.043716,0.073666
ical4j,0.08958,0.076149,0.036329,0.069066,0.016076,0.001454,0.016361,0.047712
java2html,0.169892,0.090578,0.093611,0.100325,-1.0,0.022748,0.092698,0.09435
jsapar,0.15517,0.087269,0.087471,0.030023,0.04832,0.003184,0.057499,0.023145
jxls,0.149411,0.096764,0.075028,0.084707,-1.0,0.009266,0.082316,0.071878
logisim,0.136163,0.078532,0.053477,0.112073,-1.0,0.004462,0.031858,0.06697
marvin,0.116928,0.094485,0.065786,0.089768,0.058328,0.002396,0.065085,0.033889
nekohtml,0.124252,0.088117,0.060559,0.099734,0.032181,0.003834,0.045541,0.026215
