Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.25643,0.597317,0.286063,0.382917,0.255069,1.8E-4,0.408657,2.7E-4
borg,0.187471,0.646987,0.263127,0.306125,-1.0,0.0,0.4185,0.11472
datapro4j,0.6302,0.850567,0.559533,0.815833,0.739333,0.0,0.735067,0.0155
ical4j,0.350233,0.568877,0.367107,0.43652,0.364653,0.0,0.364,0.03494
java2html,0.190081,0.608193,0.307287,0.192009,-1.0,0.0,0.469233,0.02452
jsapar,0.159171,0.53902,0.232147,0.278912,0.242433,0.0,0.325653,3.3E-4
jxls,0.261379,0.547727,0.2663,0.347,-1.0,0.005,0.457767,0.06128
logisim,0.307364,0.679267,0.426133,0.493647,-1.0,0.0,0.604633,0.04875
marvin,0.603033,0.785733,0.514833,0.6365,0.457833,0.0,0.695833,8.0E-4
nekohtml,0.441033,0.698933,0.465267,0.500768,0.3667,0.0,0.634567,0.0059
