Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.109106,0.064623,0.067611,0.108972,0.027429,0.00495,0.048665,0.028017
borg,0.108299,0.043178,0.059134,0.098643,-1.0,0.005183,0.04996,0.061461
datapro4j,0.076585,0.038763,0.046654,0.076225,0.034133,0.007182,0.051992,0.027031
ical4j,0.063351,0.033956,0.044397,0.067119,0.013198,0.008503,0.02738,0.048704
java2html,0.122841,0.04916,0.069015,0.106226,-1.0,0.036157,0.056541,0.062623
jsapar,0.119819,0.064612,0.075407,0.069294,0.041668,0.006458,0.057421,0.026904
jxls,0.103265,0.035776,0.052943,0.068585,-1.0,0.005934,0.036286,0.054766
logisim,0.07362,0.023035,0.07074,0.022777,-1.0,0.006016,0.024761,0.049871
marvin,0.089297,0.044611,0.073598,0.073615,0.044814,0.002787,0.054696,0.031957
nekohtml,0.106128,0.047398,0.070011,0.090534,0.018734,0.002979,0.041217,0.033626
