Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.266133,0.47327,0.25707,0.393847,0.214863,4.0E-5,0.283277,0.03258
borg,0.215573,0.706443,0.514967,0.483893,-1.0,0.0,0.406333,0.0245
datapro4j,0.25553,0.4241,0.169963,0.46185,0.196377,0.0,0.35442,0.03446
ical4j,0.144643,0.334427,0.138693,0.274993,0.184,1.47E-4,0.208567,0.038556
java2html,0.23614,0.567893,0.363427,0.404023,-1.0,0.0,0.3154,0.00288
jsapar,0.096,0.385923,0.086197,0.210007,0.16368,0.0,0.170537,0.02537
jxls,0.21585,0.58461,0.344253,0.488633,-1.0,0.0,0.307333,0.05981
logisim,0.244814,0.584607,0.392167,0.429957,-1.0,0.0,0.496667,0.03326
marvin,0.27132,0.48359,0.208903,0.467683,0.29316,0.0,0.344027,0.01766
nekohtml,0.224307,0.436223,0.162527,0.285307,0.172783,0.0,0.201023,0.01008
