Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.086503,0.058185,0.113721,0.084225,0.037063,0.003044,0.042426,0.0611
borg,0.097123,0.028377,0.016863,0.071846,-1.0,0.004876,0.008485,0.036782
datapro4j,0.102967,0.061009,0.053851,0.07715,0.038143,0.008612,0.03526,0.055079
ical4j,0.094856,0.047852,0.053757,0.082893,0.015492,0.002152,0.026206,0.042932
java2html,0.118829,0.047755,0.085717,0.055161,-1.0,0.020114,0.070831,0.058089
jsapar,0.169409,0.064003,0.097156,0.067416,0.049924,0.002233,0.061148,0.058605
jxls,0.132208,0.049695,0.074319,0.083704,-1.0,0.009132,0.072128,0.043259
logisim,0.082313,0.040012,0.051292,0.063675,-1.0,0.002638,0.052215,0.040061
marvin,0.102661,0.077386,0.069868,0.098415,0.055774,0.0,0.059296,0.064906
nekohtml,0.112898,0.066178,0.072099,0.09851,0.055171,0.001667,0.061956,0.048546
