Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.852778,0.935,0.848333,0.870556,0.877222,5.39E-4,0.888889,0.03673
borg,0.917647,0.958824,0.929412,0.958824,-1.0,0.004628,0.944444,0.04415
datapro4j,0.690647,0.699118,0.660471,0.666294,0.422118,7.06E-4,0.652,0.0567
ical4j,0.876471,0.905882,0.777529,0.828294,0.826059,0.002281,0.858824,0.05105
java2html,0.882353,0.941176,0.911765,0.911176,-1.0,0.001588,0.946471,0.02557
jsapar,0.1,0.714241,0.695,-1.0,0.440588,0.001471,0.595118,0.02716
jxls,0.828235,0.862941,0.855294,0.888235,-1.0,0.007235,0.788235,0.08606
logisim,0.917647,0.988235,0.882353,0.993333,-1.0,0.0,0.982353,0.0251
marvin,0.703235,0.775353,0.609882,0.739357,0.232235,0.0,0.449765,0.0281
nekohtml,0.1,0.968824,0.942471,0.958333,0.834118,8.53E-4,0.918118,0.0224
