Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.01694,0.010951,0.021163,0.0,0.006415,0.004789,0.0,0.042583
borg,0.0,0.002941,0.002631,0.010189,-1.0,0.010855,0.0,0.015641
datapro4j,0.085634,0.088896,0.0956,0.083819,0.057514,0.010346,0.08937,0.033949
ical4j,0.064899,0.056149,0.051075,0.046605,0.048992,0.003634,0.070211,0.036317
java2html,0.003396,0.041931,0.010189,0.006792,-1.0,0.008618,0.037358,0.024105
jsapar,0.0,0.051932,0.079586,-1.0,0.046829,0.01027,0.08898,0.040902
jxls,0.037234,0.054642,0.031041,0.0,-1.0,0.011702,0.003396,0.035907
logisim,0.02593,0.060567,0.045385,0.030594,-1.0,0.003778,0.050377,0.022094
marvin,0.098732,0.054871,0.105284,0.039225,0.052743,0.006044,0.073569,0.047055
nekohtml,0.0,0.16303,0.184922,0.092937,0.237592,0.003541,0.099239,0.046638
