Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.519233,0.791003,0.362527,0.485723,0.661333,0.0,0.642417,0.0123
borg,0.432307,0.5765,0.426667,0.501731,-1.0,0.0,0.5027,0.17368
datapro4j,0.859,0.861467,0.561767,0.875567,0.8041,0.0,0.8241,0.0855
ical4j,0.42345,0.599767,0.354533,0.395867,0.493183,0.0,0.5426,0.05195
java2html,0.55645,0.749027,0.4998,0.531077,-1.0,0.0,0.633033,0.06359
jsapar,0.399671,0.6892,0.311933,0.502153,0.3137,0.0,0.383507,0.01833
jxls,0.433487,0.532393,0.398367,0.393964,-1.0,0.0,0.5133,0.09846
logisim,0.466429,0.583367,0.47,0.535867,-1.0,0.0,0.5547,0.11105
marvin,0.839533,0.8591,0.640867,0.813933,0.614267,0.0,0.8067,0.0371
nekohtml,0.741207,0.798033,0.5196,0.649826,0.647367,0.0,0.754267,0.0054
