Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.054612,0.043843,0.109908,0.042739,0.035352,0.00293,0.041397,0.053777
borg,0.026551,0.006721,0.002981,0.027395,-1.0,0.006287,0.001374,0.057553
datapro4j,0.039664,0.02829,0.059186,0.089315,0.031389,0.016282,0.035799,0.060473
ical4j,0.039229,0.019295,0.105318,0.067286,0.012472,0.001758,0.01573,0.048786
java2html,0.045981,0.03746,0.027547,0.029025,-1.0,0.001005,0.026769,0.086037
jsapar,0.072787,0.039064,0.127853,0.061796,0.036626,0.00683,0.061276,0.032267
jxls,0.030936,0.01323,0.009367,0.022682,-1.0,0.005921,0.01444,0.039817
logisim,0.034188,0.013315,0.025949,0.026943,-1.0,0.001527,0.012145,0.035285
marvin,0.045366,0.042361,0.080604,0.071785,0.056164,0.0,0.071636,0.05182
nekohtml,0.062274,0.050938,0.143907,0.098429,0.033558,0.0,0.031713,0.034526
